"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSMUSG00000102693.2.4933401J01Rik"
"1",14.2287966376258,1.33794876951703,0.773054621793925,1.730729927482,0.0834999448711673,0.154894567645011,"ENSMUSG00000064842.3	Gm26206"
"2",5.82845194893933,0.383195148181718,1.17521121956365,0.326064916504112,0.744375240253049,0.829693997026238,"ENSMUSG00000051951.6	Xkr4"
"3",14.0349976938229,-3.88519037659826,0.859675193854091,-4.51937011137916,6.20238854915487e-06,2.8607387383028e-05,"ENSMUSG00000102851.2	Gm18956"
"4",181.993574846136,-0.266180326804982,0.242215214314068,-1.0989414003525,0.271793626932064,0.399101723720708,"ENSMUSG00000103377.2	Gm37180"
"5",6.74865513280158,0.628603815548547,1.04078978472647,0.603968087286473,0.545864859426406,0.670883069593227,"ENSMUSG00000104017.2	Gm37363"
"6",25.0388248279978,-0.949732828970871,0.585136219512351,-1.62309697690971,0.104568675770923,0.186610588942258,"ENSMUSG00000103025.2	Gm37686"
"7",1574.18440655103,-0.798108442183452,0.133613386691034,-5.9732670651406,2.32548739775264e-09,1.66496163454121e-08,"ENSMUSG00000089699.2	Gm1992"
"8",28.7547827745742,1.01172643062546,0.534063950630098,1.89439191585916,0.0581730086761201,0.114576989613939,"ENSMUSG00000103201.2	Gm37329"
"9",901.747966882056,-0.870521593287988,0.166657553581417,-5.22341516829428,1.7565295508739e-07,1.0049721424253e-06,"ENSMUSG00000103147.2	Gm7341"
"10",300.983796558105,0.28789774629346,0.192196737078015,1.4979325386601,0.134150778672463,0.228906450231977,"ENSMUSG00000103161.2	Gm38148"
"11",2.99253627018871,0.265253215784965,1.58907630409058,0.16692289420096,0.867430718908691,NA,"ENSMUSG00000102331.2	Gm19938"
"12",477.47766109969,0.151174004451916,0.169215520309136,0.893381435554727,0.371652940845073,0.50596316204156,"ENSMUSG00000102348.2	Gm10568"
"13",90.2731431812212,0.238884514965033,0.331266973733302,0.721123848456306,0.470833319256336,0.601907402112867,"ENSMUSG00000102592.2	Gm38385"
"14",1454.26877449104,-1.14152320455978,0.434902931155865,-2.6247769853514,0.00867057374529273,0.0219877361416909,"ENSMUSG00000088333.4	Gm27396"
"15",1113.07539450536,-1.33691376161951,0.201628264298261,-6.63058706710814,3.34354382236847e-11,2.93040478684593e-10,"ENSMUSG00000102343.2	Gm37381"
"16",49.6529417343033,0.825772383247763,0.537196209523475,1.53718951959894,0.124246906055233,0.21513644189477,"ENSMUSG00000025900.14	Rp1"
"17",6.75746786302626,0.972865025604714,1.04313335563549,0.932637251362775,0.351007293053979,0.485100291726849,"ENSMUSG00000102948.2	Gm6101"
"18",1.66998860821182,-0.937668461903127,1.98757769033091,-0.471764432889672,0.637094940546088,NA,"ENSMUSG00000104123.2	Gm37483"
"19",327.627863999635,-0.241689272134914,0.185053519744767,-1.30605066290153,0.191535329304453,0.304089073356256,"ENSMUSG00000025902.14	Sox17"
"20",478.523788935888,-1.06993817313159,0.194160433629096,-5.51058809013316,3.5763676932806e-08,2.2319035734666e-07,"ENSMUSG00000104238.2	Gm37587"
"21",65.0057162149924,-0.140859002385591,0.371772705661434,-0.378884733173145,0.704773461649889,0.800506471859111,"ENSMUSG00000102269.2	Gm7357"
"22",11.9374626916206,1.41431100776571,0.928388545822748,1.52340419765986,0.127657612480068,0.220065404311288,"ENSMUSG00000118917.1	Gm22307"
"23",85.7099385230786,1.43209578029572,0.409498493576006,3.49719425776083,0.000470179320629509,0.00157398884525245,"ENSMUSG00000103003.2	Gm38076"
"24",584.258652571897,-0.0402505846495689,0.187494259673541,-0.214676357130356,0.830019657093741,0.890425257258266,"ENSMUSG00000104328.2	Gm37323"
"25",286.726866876477,-0.153457616699834,0.198787940197854,-0.77196643089665,0.440134309914075,0.572034791106268,"ENSMUSG00000102735.2	Gm7369"
"26",74.8820304148315,0.859496575654908,0.344116018656732,2.4976941759642,0.0125003983683597,0.030293872093215,"ENSMUSG00000098104.2	Gm6085"
"27",14.7732232163581,0.958189785073686,0.824436038499552,1.16223665673029,0.245139348543934,0.368477829016531,"ENSMUSG00000102175.2	Gm6119"
"28",1035.02085812799,-0.164418941543658,0.148820020154787,-1.1048173583947,0.269238737392123,0.396043477705443,"ENSMUSG00002075947.1	Gm56275"
"29",301.407004475025,0.809664532570103,0.258746256953583,3.12918355651943,0.00175292767863699,0.00525565001056936,"ENSMUSG00000103265.2	Gm2053"
"30",1967.26985181985,-1.39801186345622,0.133577104374263,-10.4659542517047,1.2382255918459e-25,3.22034640359922e-24,"ENSMUSG00000103922.2	Gm6123"
"31",801.638930466515,-0.995189445006071,0.232830376601872,-4.274311022173,1.91729242620102e-05,8.22782820402203e-05,"ENSMUSG00000033845.14	Mrpl15"
"32",2.47262440473941,-0.528770914023467,1.61607403921216,-0.327194733157921,0.743520604187592,NA,"ENSMUSG00000102275.2	Gm37144"
"33",1142.81698375063,0.667536448413123,0.150869178776121,4.42460450721814,9.66191230037395e-06,4.31979154687561e-05,"ENSMUSG00000120403.1	A930006A01Rik"
"34",227.866898358761,-3.89849868831554,0.247774984515078,-15.7340285822046,8.84030096203017e-56,9.56748700890685e-54,"ENSMUSG00000025903.15	Lypla1"
"35",1424.72690941503,-0.0894088711651473,0.127142058917943,-0.703220255563517,0.481918497942924,0.612391697825358,"ENSMUSG00000104217.2	Gm37988"
"36",7.57829803432525,1.24591604261294,1.04249488521666,1.19512916588939,0.232036568321202,0.353053372661057,"ENSMUSG00000033813.16	Tcea1"
